"","V1","V2"
"1",0.6812972,0.1943571
"2",0.6590867,0.3118182
"3",1.113184,0.79741
"4",0.5253526,-0.06141619
"5",0.8250787,0.5678554
"6",1.209827,0.2104327
"7",0.9580597,0.2946753
"8",0.7780394,0.5506035
"9",1.692381,0.32118
"10",0.6913268,0.1259476
"11",1.639145,0.3275226
"12",0.2832465,0.4815175
"13",0.5421948,0.1553337
"14",1.11027,0.07108152
"15",1.30982,0.3126823
"16",0.2096562,0.1501736
"17",0.6543112,1.127773
"18",1.133846,0.7885659
"19",1.609258,0.6145729
"20",2.566037,0.1698496
"21",1.247054,-0.05948804
"22",1.541927,-0.01964648
"23",0.994488,-0.02591778
"24",1.817061,0.240129
"25",2.101866,0.2412821
"26",1.331784,0.3441884
"27",1.880532,0.08540721
"28",1.607264,-0.06317093
"29",2.703011,0.4778987
"30",1.566412,0.3831296
"31",1.070305,0.0802441
"32",0.8612195,0.6240868
"33",0.8680123,-0.05434315
"34",1.201234,0.2818077
"35",0.9419864,0.298526
"36",0.8329147,0.2285909
"37",1.590724,0.7542084
"38",1.660986,0.300116
"39",0.9035943,0.2301754
"40",1.344896,0.3675995
"41",1.804685,0.177732
"42",1.451666,0.1374963
"43",2.603538,0.09813306
"44",2.236834,0.200423
"45",0.9381944,0.2452992
"46",1.947973,0.2735195
"47",-0.08834136,0.2401688
"48",1.354882,0.3676544
"49",1.932465,0.2083172
"50",0.877896,0.2242618
"51",1.375012,0.189248
"52",0.7309824,0.394233
"53",1.013313,0.1021266
"54",-1.987464,0.1932088
"55",0.8585362,0.2345265
"56",-2.286329,0.2592063
"57",-2.110502,0.1928255
"58",-0.04409754,0.3043636
"59",1.316254,0.1590346
"60",1.002578,0.2699723
"61",1.626264,0.3435174
"62",1.126939,0.345459
"63",1.008629,0.2461398
"64",2.712589,0.417002
"65",2.62778,0.3009782
"66",1.549161,0.4046134
"67",0.8417694,0.3069134
"68",0.6403194,0.2635905
"69",1.156887,0.236958
"70",0.7974892,0.2524431
"71",-1.04404,0.2953638
"72",1.773266,0.2651712
"73",2.5434,0.2060053
"74",1.491014,0.2573521
"75",3.027254,0.1668359
"76",3.299774,0.1990478
"77",2.097768,0.2384473
"78",1.509243,0.1966746
"79",1.634951,0.1753915
"80",0.8581319,0.2347065
"81",1.524086,0.1921152
"82",0.2827904,0.1238467
"83",-1.000094,0.1489801
"84",1.512823,0.2201506
"85",4.973459,0.2194547
"86",3.659623,0.2110882
"87",1.236722,0.1880539
"88",0.7181669,0.2022153
"89",0.4607545,0.212393
"90",-0.01620412,0.1929784
"91",1.663385,0.1913548
"92",1.685307,0.2233333
"93",1.841467,0.1720814
"94",1.487927,0.2011724
"95",1.383737,0.1950076
"96",3.16509,0.1997783
"97",2.20604,0.2030418
"98",0.6141716,0.1765777
"99",0.9461478,0.1716257
"100",2.842833,0.2371794
"101",-0.1229929,0.1665875
"102",-2.099501,0.1690597
"103",-1.782211,0.1706616
"104",1.404185,0.1656167
"105",2.021849,0.1648148
"106",0.8841528,0.1589215
"107",3.086808,0.1578078
"108",2.964086,0.1710534
"109",3.159487,0.1627099
"110",1.73617,0.1427931
"111",1.099206,0.1660376
"112",2.287825,0.156027
"113",1.350948,0.1709827
"114",-2.127188,0.1833439
"115",-1.677494,0.1650404
"116",0.4995302,0.1808825
"117",3.352566,0.241505
"118",2.090021,0.2132809
"119",0.888179,0.1625625
"120",2.686836,0.1750414
